hdf5_path,demo_id,environment,onset_idx,peak_idx,post_idx,action,grip_type,object_name,object_category,grip_type_grouped
/Users/cassandrahe/Documents/6.S985/opentouch/data/grocery_tj.hdf5,demo_75,grocery_tj,5,14,47,picking up,Prismatic 4 Finger,Jerky Sticks dog treats pouch,pet item,Other
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p1.hdf5,demo_216,office_ml_p1,40,55,62,wiping,Prismatic 4 Finger,whiteboard eraser,cleaning item,Other
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p3.hdf5,demo_107,hardware_homedepot_p3,23,71,79,holding,Medium Wrap,pickaxe,hand tool,Medium Wrap
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p1.hdf5,demo_191,office_ml_p1,36,47,60,placing,Tip Pinch,small pink foam block,game piece,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/eat_ygf_p2.hdf5,demo_28,eat_ygf_p2,5,12,157,scooping,Light Tool,soup spoon,utensil,Light Tool
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_csail_p1.hdf5,demo_079,office_csail_p1,74,132,137,picking up,Tip Pinch,wrapped mini candy bar,snack,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/fablab_ml_p2.hdf5,demo_40,fablab_ml_p2,21,104,105,pushing,Index Finger Extension,flat-file cabinet drawer,drawer,Index Finger Extension
/Users/cassandrahe/Documents/6.S985/opentouch/data/fablab_ml_p1.hdf5,demo_32,fablab_ml_p1,135,337,342,placing,Prismatic 2 Finger,metal file,hand tool,Prismatic 2 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p2.hdf5,demo_026,hardware_homedepot_p2,6,14,25,pushing,Small Diameter,shopping cart handle,handle,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/grocery_target_p1.hdf5,demo_077,grocery_target_p1,28,139,140,placing,Small Diameter,white teapot/kettle with gold spout,pot,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/grocery_plant.hdf5,demo_21,grocery_plant,5,52,65,picking up,Tip Pinch,small plant product packet,package,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p5.hdf5,demo_147,hardware_homedepot_p5,28,88,90,touching,Tip Pinch,glass light shade (replacement globe),light,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p2.hdf5,demo_053,office_ml_p2,27,132,141,placing,Prismatic 2 Finger,small cube camera,camera,Prismatic 2 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/grocery_target_p2.hdf5,demo_34,grocery_target_p2,7,85,87,holding,Small Diameter,snow brush and ice scraper,brush,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p2.hdf5,demo_075,office_ml_p2,26,43,51,adjusting,Prismatic 2 Finger,brown hardcover book on shelf,book,Prismatic 2 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p1.hdf5,demo_299,office_ml_p1,34,39,40,pressing,Index Finger Extension,power strip switch,switch,Index Finger Extension
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p5.hdf5,demo_096,hardware_homedepot_p5,31,66,67,pulling,Fixed Hook,refrigerator door handle,handle,Fixed Hook
/Users/cassandrahe/Documents/6.S985/opentouch/data/home_kitchen_p1.hdf5,demo_178,home_kitchen_p1,8,12,137,picking up,Tip Pinch,single-serve coffee creamer cup,dairy product,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/fablab_ml_p2.hdf5,demo_60,fablab_ml_p2,9,14,63,picking up,Tip Pinch,clear plastic cup,cup,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/home_bedroom.hdf5,demo_125,home_bedroom,26,79,89,folding,Tip Pinch,pair of denim jeans,clothing item,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p1.hdf5,demo_247,office_ml_p1,36,117,120,placing,Prismatic 3 Finger,tuning fork,instrument,Prismatic 3 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/fablab_ml_p3.hdf5,demo_21,fablab_ml_p3,37,71,80,placing,Prismatic 2 Finger,tape measure,measuring tool,Prismatic 2 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/fablab_ml_p2.hdf5,demo_10,fablab_ml_p2,6,14,60,pulling,Prismatic 3 Finger,thick plastic panel,construction material,Prismatic 3 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p1.hdf5,demo_062,office_ml_p1,106,327,333,wiping,Prismatic 4 Finger,whiteboard eraser,cleaning item,Other
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p1.hdf5,demo_04,hardware_homedepot_p1,44,63,76,lifting,Fixed Hook,folding step ladder carry handle,tool,Fixed Hook
/Users/cassandrahe/Documents/6.S985/opentouch/data/home_bedroom.hdf5,demo_057,home_bedroom,19,41,43,picking up,Tip Pinch,receipt slip,paper,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/grocery_plant.hdf5,demo_37,grocery_plant,34,89,95,placing,Prismatic 3 Finger,green massage soap bar,toiletry,Prismatic 3 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p4.hdf5,demo_82,hardware_homedepot_p4,36,55,59,picking up,Tip Pinch,PTFE thread seal tape roll (blue spool) on retail card,tape,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/home_kitchen_p3.hdf5,demo_07,home_kitchen_p3,11,54,59,holding,Small Diameter,insulated water bottle,bottle,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p2.hdf5,demo_255,office_ml_p2,6,13,231,adjusting,Small Diameter,gooseneck desk lamp,light,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_csail_p1.hdf5,demo_109,office_csail_p1,7,13,164,placing,Tip Pinch,coat,clothing item,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/home_bedroom.hdf5,demo_008,home_bedroom,9,13,24,picking up,Tip Pinch,green waffle-knit towel/cloth,fabric,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_csail_p1.hdf5,demo_053,office_csail_p1,24,58,63,pulling,Prismatic 2 Finger,wood-framed glass cabinet door,cabinet,Prismatic 2 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/home_kitchen_p1.hdf5,demo_002,home_kitchen_p1,64,100,104,adjusting,Tip Pinch,frying pan handle,handle,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p2.hdf5,demo_082,office_ml_p2,28,41,53,adjusting,Small Diameter,wooden pole in a weighted base,stick,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_csail_p1.hdf5,demo_065,office_csail_p1,49,74,76,touching,Tip Pinch,KIND granola bars box,packaged food,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p5.hdf5,demo_007,hardware_homedepot_p5,25,60,61,pressing,Small Diameter,small sink plunger,cleaning item,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p1.hdf5,demo_027,office_ml_p1,57,74,81,folding,Palmar,folding tablet stand,component,Palmar
/Users/cassandrahe/Documents/6.S985/opentouch/data/home_kitchen_p1.hdf5,demo_151,home_kitchen_p1,30,47,48,pulling,Fixed Hook,refrigerator door,door,Fixed Hook
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p2.hdf5,demo_252,office_ml_p2,31,95,106,pushing,Prismatic 2 Finger,small desktop computer (Mac mini–style),computer,Prismatic 2 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p1.hdf5,demo_139,office_ml_p1,10,14,70,picking up,Prismatic 2 Finger,clear plastic petri dish,container,Prismatic 2 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/grocery_plant.hdf5,demo_13,grocery_plant,43,86,91,picking up,Tip Pinch,air plant (Tillandsia),plant,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p5.hdf5,demo_023,hardware_homedepot_p5,22,66,73,sliding,Small Diameter,sliding shower door handle,handle,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/home_kitchen_p1.hdf5,demo_072,home_kitchen_p1,7,14,45,picking up,Prismatic 2 Finger,small ceramic plate,plate,Prismatic 2 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/grocery_target_p2.hdf5,demo_94,grocery_target_p2,28,64,67,picking up,Prismatic 2 Finger,water bottle cap loop,bottle,Prismatic 2 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/grocery_plant.hdf5,demo_68,grocery_plant,64,119,123,grasping,Prismatic 2 Finger,wire plant basket,container,Prismatic 2 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/grocery_target_p1.hdf5,demo_018,grocery_target_p1,24,53,59,holding,Small Diameter,condiment squeeze bottle,bottle,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p1.hdf5,demo_190,office_ml_p1,5,42,44,placing,Tip Pinch,mini foam football,toy,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_csail_p2.hdf5,demo_024,office_csail_p2,9,59,66,pushing,Small Diameter,wagon handle,handle,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/home_kitchen_p1.hdf5,demo_098,home_kitchen_p1,5,11,78,picking up,Medium Wrap,electric kettle,appliance,Medium Wrap
/Users/cassandrahe/Documents/6.S985/opentouch/data/grocery_tj.hdf5,demo_10,grocery_tj,6,10,86,picking up,Tip Pinch,bag of sandwich rolls,bread,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p3.hdf5,demo_114,hardware_homedepot_p3,5,9,54,picking up,Small Diameter,pickaxe,hand tool,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/eat_mcdonalds.hdf5,demo_10,eat_mcdonalds,33,66,73,picking up,Tip Pinch,French fry,food,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/home_kitchen_p1.hdf5,demo_150,home_kitchen_p1,31,50,54,placing,Prismatic 3 Finger,frozen food box,packaged food,Prismatic 3 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_csail_p2.hdf5,demo_047,office_csail_p2,6,11,33,pulling,Small Diameter,office chair backrest frame,chair,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/home_bedroom.hdf5,demo_075,home_bedroom,28,57,61,folding,Tip Pinch,cardboard shipping box flap,box,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p1.hdf5,demo_126,office_ml_p1,5,9,45,pushing,Index Finger Extension,purple plastic egg capsule,toy,Index Finger Extension
/Users/cassandrahe/Documents/6.S985/opentouch/data/home_kitchen_p1.hdf5,demo_111,home_kitchen_p1,38,58,62,pulling,Fixed Hook,refrigerator door handle,handle,Fixed Hook
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p1.hdf5,demo_233,office_ml_p1,25,54,57,switching on,Index Finger Extension,slim LED flashlight,light,Index Finger Extension
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p2.hdf5,demo_140,office_ml_p2,92,292,299,placing,Small Diameter,bottle brush,brush,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p3.hdf5,demo_111,hardware_homedepot_p3,5,14,34,examining,Tip Pinch,inflatable air wedge (air shim) package,hand tool,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/fablab_ml_p2.hdf5,demo_71,fablab_ml_p2,24,65,73,turning,Small Diameter,bench vise handle,tool,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p2.hdf5,demo_045,office_ml_p2,5,13,31,picking up,Prismatic 3 Finger,glass spice jar,bottle,Prismatic 3 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p3.hdf5,demo_093,hardware_homedepot_p3,86,115,123,picking up,Small Diameter,red gas can,container,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/home_bedroom.hdf5,demo_045,home_bedroom,47,98,98,picking up,Tip Pinch,white charging cable,cable,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p2.hdf5,demo_219,office_ml_p2,64,72,85,pressing,Small Diameter,TV remote control,remote,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/eat_mcdonalds.hdf5,demo_22,eat_mcdonalds,262,323,332,placing,Prismatic 2 Finger,small paper food bag,bag,Prismatic 2 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p5.hdf5,demo_179,hardware_homedepot_p5,21,65,66,pressing,Power Disk,yellow plastic storage bin lid,container,Other
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p5.hdf5,demo_006,hardware_homedepot_p5,65,91,93,pointing,Writing Tripod,white marker,marker,Writing Tripod
/Users/cassandrahe/Documents/6.S985/opentouch/data/fablab_ml_p1.hdf5,demo_10,fablab_ml_p1,119,218,221,pressing,Palmar,grid cutting mat,tool,Palmar
/Users/cassandrahe/Documents/6.S985/opentouch/data/fablab_ml_p1.hdf5,demo_23,fablab_ml_p1,29,56,63,picking up,Small Diameter,wooden mallet,hammer,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p1.hdf5,demo_14,hardware_homedepot_p1,191,325,337,placing,Small Diameter,roofing hand scraper with serrated head,hand tool,Small Diameter
/Users/cassandrahe/Documents/6.S985/opentouch/data/fablab_ml_p1.hdf5,demo_57,fablab_ml_p1,41,51,58,picking up,Tip Pinch,pair of scissors,scissors,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/home_bedroom.hdf5,demo_084,home_bedroom,74,99,100,plugging in,Prismatic 2 Finger,AC power plug,plug,Prismatic 2 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/fablab_ml_p2.hdf5,demo_19,fablab_ml_p2,38,81,92,grasping,Tip Pinch,short white cylindrical rod stock,construction material,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p3.hdf5,demo_049,hardware_homedepot_p3,25,111,118,pulling,Fixed Hook,door pull handle,handle,Fixed Hook
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p2.hdf5,demo_148,office_ml_p2,7,12,30,pressing,Palmar Pinch,desktop computer power button,button,Other
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p5.hdf5,demo_017,hardware_homedepot_p5,49,91,91,pressing,Palmar,toilet seat lid,toiletry,Palmar
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p1.hdf5,demo_185,office_ml_p1,9,14,52,picking up,Tip Pinch,mini plastic slinky,toy,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p1.hdf5,demo_092,office_ml_p1,32,53,55,attaching,Precision Sphere,phone mount ball joint,component,Other
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p1.hdf5,demo_154,office_ml_p1,8,11,21,picking up,Prismatic 2 Finger,small yellow toy block,toy,Prismatic 2 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/fablab_ml_p1.hdf5,demo_62,fablab_ml_p1,131,217,222,placing,Prismatic 2 Finger,utility knife (box cutter),hand tool,Prismatic 2 Finger
/Users/cassandrahe/Documents/6.S985/opentouch/data/home_kitchen_p3.hdf5,demo_30,home_kitchen_p3,13,14,113,picking up,Tip Pinch,small glass cup,drinkware,Tip Pinch
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p5.hdf5,demo_039,hardware_homedepot_p5,27,54,57,pulling,Fixed Hook,refrigerator door handle,handle,Fixed Hook
/Users/cassandrahe/Documents/6.S985/opentouch/data/office_ml_p2.hdf5,demo_127,office_ml_p2,10,14,28,pushing,Palmar,mini refrigerator door,refrigerator,Palmar
/Users/cassandrahe/Documents/6.S985/opentouch/data/hardware_homedepot_p4.hdf5,demo_73,hardware_homedepot_p4,68,97,105,pulling,Small Diameter,hand truck handle,handle,Small Diameter
